id1,id2,metric,variable,value
train,true,mean,log10_process_var,-2.522112358212e-01
train,true,var,log10_process_var,3.143496192982e-01
train,true,lower95,log10_process_var,-1.534822648764e+00
train,true,upper95,log10_process_var,5.623628631234e-01
train,est,mean,log10_process_var,-1.865727358162e-01
train,est,var,log10_process_var,1.407349013094e-01
train,est,lower95,log10_process_var,-9.816026762128e-01
train,est,upper95,log10_process_var,4.970014765859e-01
train,est,mae,log10_process_var,2.884847040474e-01
train,est,mse,log10_process_var,1.695767649121e-01
train,est,mape,log10_process_var,2.546472106762e+00
train,est,coverage,log10_process_var,8.230000000000e-01
train,est,mean_CI_width,log10_process_var,9.601545492113e-01
train,est,mean_rel_CI_width,log10_process_var,-2.034915936960e+00
train,true,mean,log10_process_kurt,-2.201195858717e+00
train,true,var,log10_process_kurt,6.692492672062e+00
train,true,lower95,log10_process_kurt,-5.403793799877e+00
train,true,upper95,log10_process_kurt,1.254984515905e+00
train,est,mean,log10_process_kurt,-2.091969540834e+00
train,est,var,log10_process_kurt,5.766027852537e+00
train,est,lower95,log10_process_kurt,-4.313845431804e+00
train,est,upper95,log10_process_kurt,1.250434833765e+00
train,est,mae,log10_process_kurt,6.917519478798e-01
train,est,mse,log10_process_kurt,1.685200176321e+00
train,est,mape,log10_process_kurt,5.101074260851e-01
train,est,coverage,log10_process_kurt,7.510000000000e-01
train,est,mean_CI_width,log10_process_kurt,2.542974834204e+00
train,est,mean_rel_CI_width,log10_process_kurt,1.411130823902e+01
test,true,mean,log10_process_var,-2.404977964536e-01
test,true,var,log10_process_var,3.166836610617e-01
test,true,lower95,log10_process_var,-1.607597306370e+00
test,true,upper95,log10_process_var,5.689020514488e-01
test,est,mean,log10_process_var,-1.779123596023e-01
test,est,var,log10_process_var,1.466430986255e-01
test,est,lower95,log10_process_var,-9.606772823934e-01
test,est,upper95,log10_process_var,4.673227611522e-01
test,est,mae,log10_process_var,2.927145888144e-01
test,est,mse,log10_process_var,1.891804965555e-01
test,est,mape,log10_process_var,2.753693664063e+00
test,est,coverage,log10_process_var,8.196000000000e-01
test,est,mean_CI_width,log10_process_var,9.561565859337e-01
test,est,mean_rel_CI_width,log10_process_var,-1.208489415951e+00
test,true,mean,log10_process_kurt,-2.204799507269e+00
test,true,var,log10_process_kurt,6.643033150799e+00
test,true,lower95,log10_process_kurt,-5.353757071496e+00
test,true,upper95,log10_process_kurt,1.280482077599e+00
test,est,mean,log10_process_kurt,-2.117551062018e+00
test,est,var,log10_process_kurt,5.931532125755e+00
test,est,lower95,log10_process_kurt,-4.303174524555e+00
test,est,upper95,log10_process_kurt,1.259356058542e+00
test,est,mae,log10_process_kurt,7.112067036928e-01
test,est,mse,log10_process_kurt,1.917406269499e+00
test,est,mape,log10_process_kurt,4.417342241312e-01
test,est,coverage,log10_process_kurt,7.584000000000e-01
test,est,mean_CI_width,log10_process_kurt,2.556598637335e+00
test,est,mean_rel_CI_width,log10_process_kurt,-1.167606283042e-01
